"CAS","odor_goodscents"
"8002-33-3","bland fatty"
"90-87-9","floral leafy hyacinth green mushroom earthy walnut, sweet, floral, citrus, green with a honey nuance"
"1323-00-8","woody floral cashew nutty powdery orris, woody, floral ionone, with acidic green berry nuances"
"67634-02-0","floral rose absolute green powdery tropical"
"151-21-3","almost odorless"
"100-06-1","sweet hawthorn anisic powdery balsamic acacia, sweet, anisic, vanilla-like, with powdery balsamic and benzaldehyde nuances"
"98-86-2","sweet pungent hawthorn mimosa almond acacia chemical, sweet, cherry pit, marzipan and coumarinic. it has a slight almond nutty and heliotropin-like vanilla nuance"
"1211-29-6","floral fresh petal magnolia oily waxy, sweet, fruity, waxy, floral and green"
"124-25-4","fatty waxy amber incense dry citrus peel musk, fatty, waxy, dairy, creamy and fishy with a fruity, pear nuance"
"112-31-2","sweet aldehydic waxy orange peel citrus floral, sweet, aldehydic, orange, waxy and citrus rind"
"143-08-8","fresh clean fatty floral rose orange dusty wet oily"
"3033-23-6","rose cortex green floral geranium powdery metallic"
"112-30-1","fatty waxy floral orange sweet clean watery"
"65443-14-3","fruity peach apricot jasmin lactonic herbal lavender"
"124-13-0","aldehydic waxy citrus orange peel green herbal fresh fatty, aldehydic, waxy, citrus orange with a green peely nuance"
"124-19-6","waxy aldehydic rose fresh orris orange peel fatty peely, waxy, aldehydic, citrus, with a fresh slightly green lemon peel like nuance, and a cucumber fattiness"
"109-29-5","sweet musk balsam amber animal"
"5406-12-2","heliotrope lily lilac"
"2705-87-5","sweet pineapple tropical fruity candy waxy"
"112-45-8","waxy aldehydic rose mandarin citrus soapy fatty"
"34686-67-4","floral green fruity natural waxy jasmin tropical banana"
"34687-46-2","oily jasmin coconut milky dairy floral"
"112-54-9","soapy waxy aldehydic citrus green floral, soapy, waxy, aldehydic, citrus, orange rindy with floral nuances"
"57-55-6","odorless very slight alcoholic"
"68959-28-4","creamy fruity peach plum dairy coconut buttery, creamy, sweet, fruity peach, milky, dairy with a coconut nuance"
"40010-99-9","floral jasmin gardenia tuberose"
"110-41-8","fresh amber aldehydic moss citrus tuberose metallic waxy coumarinic, gassy, diffusive, metallic, waxy, with coumarin and citrus nuances"
"9176-12-1","chamomile herbal celery lovage sassafras jasmin"
"58214-97-4","balsamic powdery cinnamyl sweet storax cinnamon"
"77-92-9","odorless"
"60788-25-2","sweet lily muguet rose aldehydic lychee waxy"
"55066-49-4","aldehydic lily green fresh waxy woody"
"64-17-5","strong alcoholic ethereal medical"
"104-61-0","coconut creamy waxy sweet buttery oily, sweet, creamy, coconut, fatty with oily buttery nuances"
"106-21-8","waxy soapy aldehydic leathery musty citrus green"
"589-59-3","sweet fruity apple raspberry green banana, sweet, fruity, apple and green"
"99016-42-9","odorless"
"539-82-2","sweet fruity apple pineapple green tropical, sweet, fruity, acidic, pineapple, apple, green, berry and tropical"
"123-68-2","sweet fruity pineapple tropical ethereal rum arrack fatty cognac, sweet, fruity, estry, juicy, caproate-like, pineapple"
"97-62-1","sweet ethereal fruity alcoholic fusel rummy, sweet, etherial and fruity with pungent, alcoholic, fusel and rummy nuances"
"69300-15-8","light peach fruity floral jasmin lactonic"
"69102-96-1","fresh floral sweet lily citronella oil"
"72968-30-0","fresh floral sweet lily citronella oil"
"104-67-6","fruity peach creamy fatty lactonic apricot ketonic coconut"
"15323-35-0","strong sweet musk amber powdery dry fruity"
"23726-91-2","fruity floral berry plum blackcurrant honey rose tobacco, fruity, woody and berry with a minty note"
"68039-24-7","citrus natural lemon"
"1405-92-1","sharp dry woody cedar peanut waxy vetiver"
"3658-77-3","sweet cotton candy caramel strawberry sugar, sweet, slightly burnt brown caramellic, cotton candy with a savory nuance"
"93-54-9","sweet floral balsam"
"144020-22-4","ambergris woody cedar dry tobacco musk"
"107-75-5","floral lily sweet green waxy tropical melon"
"26896-48-0","sweet amber musk floral sandalwood"
"122-40-7","sweet floral oily fruity herbal jasmin, sweet, floral, fruity, tropical and green with a powdery nuance"
"141-14-0","floral green neroli waxy fruity rose, floral, green, waxy and citrus with fruity nuances"
"25415-62-7","apple fresh fruity"
"68916-14-3","woody cedar fatty amber vetiver acetate"
"4180-23-8","sweet anise licorice mimosa"
"13567-39-0","woody amber tobacco sandalwood fresh linalyl acetate patchouli"
"64577-91-9","green leafy vegetable"
"54484-73-0","natural green floral earthy fungal"
"105-13-5","sweet powdery hawthorn lilac rose floral hyacinth, sweet, powdery creamy, balsamic, coumarin and slightly lactonic, cherry and licorice nuance"
"123-11-5","sweet powdery mimosa floral hawthorn balsam"
